title,artist,album
Olha Pro Céu,João Donato,Songbook Antonio Carlos Jobim Instrumental Vol. 2
Sabe Você,Maria Creuza,Voce e Eu
VH Rosa Passos,Rosa Passos,BJB
I mulini dei ricordi,Chiara Civello & Esperanza Spalding,Canzoni
Milagre,Rosa Passos,Canta Caymmi
Satin doll,Maria Augusta,Bossa nova
Lullaby of the Leaves,Mary Stallings,Manhattan Moods
Rainin',Matt Forbes,Solitary Man
Eu Sei que Vou te Amar,Ivan Lins,Songbook Tom Jobim
Não Diga Não,Nana Caymmi,Nana Caymmi canta Tito Madi
Let It Be,Monique Kessous,Bossa Beatles
Os Banshees de Inisherin,Cine na Bossa,BJB
Chamada Comercial BJB,Chamada BJB 3,Carla Rebelo
Am I Blue,Abigail Rockwell,Autumn Noir
Proof,Keiko Matsui,Soul Quest
Close To You,"Rossano Sportiello, Nicki Parrott, Eddie Metz",Strictly Confidential
Vingança,Trovadores Urbanos,Desconhecido
Be Carefull Its My Heart,Delicatessen,Delicatessen
All Trough the Night,Manu Le Prince,Tribute to Cole Porter
Seu Encanto,Wanda Sa & Menescal,Songbook
I Fall In Love Too Easily,Chet Baker,Chet Baker Sings
Oh! Darling,The Cooltrane Quartet,Cool Jazz Blends
Nua Idéia,Leila Pinheiro,Mais Coisas do Brasil
VH Marcos Valle,Marcos Valle,BJB
Copacabana,Trovadores Urbanos,Desconhecido
Night Fever,Rhythm Logic,Sweet Talk
Boys Don't Cry,Jamie Lancaster,Jazz and '80s
A Hundred Years From Now,John Pizzarelli Trio,For Centennial Reasons: 100 Year Salute to Nat King Cole
Palhaçada,Rosa Passos,É Luxo Só
California Dreamin',Diana Krall,Wallflower
"Lobo Bobo, Saudade Fez Um Samba, Se é Tarde Me Perdoa",Carlos Lyra,Bossa Nova
Mon Manege a Moi,Clara Moreno & Celso Fonseca,Meu Samba Torto
Night And Day,Anne Walsh,Pretty World
Wouldn't It Be Loverly,Chiara Pancaldi,I Walk a Little Faster
Primazia,Djavan,Vidas pra Contar
Chega de Saudade,Milton Nascimento & Jobim Trio,Milton Nascimento & Jobim Trio
Sweet Spot,Jonathan Fritzen,Magical
I Only Have Eyes For You,Heather Bambrick,You'll Never Know
We've Got A World That Swings,Holly Cole,Holly
Amanhecendo,Roberto Menescal & Leila Pinheiro,Menescal 80 Anos
Desafinado,Tom Jobim,Inédito - Disco 2
VH Jair Oliveira,Jair Oliveira,BJB
Rio de Janeiro,Rosalia de Souza,Rosalia de Souza
Conversa de Botequim,Dori Caymmi & Gal Costa,Influências
Ela É Carioca,Paula Morelenbaum & Jaques Morelenbaum,Live In Italia (Ommagio A Jobim)
O Amor em Paz,Joao Gilberto,João Gilberto
Deja Vu,Peter White,Peter White
Ain't Misbehavin',Steve Tyrell,Standard Time
Till There Was You,Laura Fygi,Laura Fygi
Outono,Leo Jaime,Leo Jaime
Três apitos,Rosa Passos,É Luxo Só
Samba Da Benção,Luiz Carlos Vinhas,Relaxing Bossa Lounge
Lucy In The Sky With Diamonds,Saloa Farah,Beatles in Bossa
Chamada BJB YouTube,BJB,BJB
Full Moon,Karen Souza,Hotel Souza
I'm In The Mood For Love,Barbra Streisand,The Movie Album
Eu e a Brisa,Marcela Mangabeira,Simples
Só Tinha de Ser Com Você,Pedro Mariano,Casa da Bossa
I've Got You Under My Skin,Carly Simon,Moonlight Serenade
Pra Que Vou Recordar,Patricia Marx,Charme Do Mundo
